Index,Bab,Kategori,Kanji,Kana,Romaji,Arti,Kelas Kata,Konjugasi,Transitivitas,Catatan Tambahan
2218,44,Kata Kerja,泣きます,なきます,nakimasu,Menangis,Kata Kerja,Godan (I),Jidoushi (Intransitif),
2219,44,Kata Kerja,笑います,わらいます,waraimasu,Tertawa,Kata Kerja,Godan (I),Jidoushi (Intransitif),
2220,44,Kata Kerja,乾きます,かわきます,kawakimasu,Mengering,Kata Kerja,Godan (I),Jidoushi (Intransitif),シャツがかわきました：Kemeja telah mengering
2221,44,Kata Kerja,濡れます,ぬれます,nuremasu,Basah,Kata Kerja,Ichidan (II),Jidoushi (Intransitif),シャツがぬれました：Baju telah basah
2222,44,Kata Kerja,滑ります,すべります,suberimasu,Licin,Kata Kerja,Godan (I),Jidoushi (Intransitif),(Lantai/Mulutnya) Licin
2223,44,Kata Kerja,調節します,ちょうせつします,chousetsushimasu,Menyesuaikan,Kata Kerja,Iirregular (III),Tadoushi (Transitif),
2224,44,Kata Sifat (Na),安全,あんぜん,anzen,Aman,Kata Sifat (Na),,,
2225,44,Kata Sifat (I),濃い,こい,koi,Kental / Kuat / Pekat,Kata Sifat (I),,,"Tekstur / Rasa, Warna"
2226,44,Kata Sifat (I),薄い,うすい,usui,Encer / Tawar / Tidak Pekat / Tipis,Kata Sifat (I),,,"Tekstur / Rasa, Warna / Benda"
2227,44,Kata Sifat (I),厚い,あつい,atsui,(Benda) Tebal,Kata Sifat (I),,,
2228,44,Kata Sifat (I),太い,ふとい,futoi,Gemuk,Kata Sifat (I),,,
2229,44,Kata Sifat (I),細い,ほそい,hosoi,Kurus,Kata Sifat (I),,,
2230,44,Kata Benda,空気,くうき,kuuki,Udara / (Suasana),Kata Benda,,,くうきがよめる：Bisa membaca suasana
2231,44,Kata Benda,涙,なみだ,namida,Air Mata,Kata Benda,,,
2232,44,Kata Benda,おかず,おかず,okazu,Lauk-pauk,Kata Benda,,,
2233,44,Kata Benda,量,りょう,ryou,Volume / Kuantitas,Kata Benda,,,
2234,44,Kata Benda,倍,ばい,bai,Lipat Ganda { … Kali Lipat},Kata Benda,,,２倍＝2 Kali Lipat／100倍＝100 Kali Lipat
2235,44,Kata Benda,シングル,シングル,shinguru,Tipe Kamar Hotel {Single - 1 kasur kecil},Kata Benda,,,
2236,44,Kata Benda,ツイン,ツイン,tsuin,Tipe Kamar Hotel {Twin - 2 kasur kecil},Kata Benda,,,
2237,44,Kata Benda,ダブル,ダブル,daburu,Tipe Kamar Hotel {Double - 1 kasur besar},Kata Benda,,,
2238,44,Kata Benda,洗濯物,せんたくもの,sentakumono,{Barang} Cucian,Kata Benda,,,
2239,44,Kata Benda,ホテルひろしま,ホテルひろしま,hoteru hiroshima,Nama Hotel Fiksi,Kata Benda,,,
2240,44,Ekspresi,どうなさいますか,どうなさいますか,dounasaimasuka,Mau diapakan? [Hormat],Ekspresi,,,
2241,44,Ekspresi,どういうふうになさいますか,どういうふうになさいますか,dou iu fuu ni nasaimasuka,Mau seperti bagaimana? [Hormat],Ekspresi,,,
2242,44,Ekspresi,どういうふうにしますか,どういうふうにしますか,dou iu fuu ni shimasuka,Mau seperti bagaimana?,Ekspresi,,,
2243,44,Kata Benda,カット,カット,katto,Cut Potong Rambut,Kata Benda,,,
2244,44,Kata Benda,シャンプー,シャンプー,shanpuu,Shampoo / Keramas,Kata Benda,,,
2245,44,Kata Kerja,シャンプーをします,シャンプーをします,shanpuu o shimasu,Berkeramas,Kata Kerja,Iirregular (III),Tadoushi (Transitif),
2246,44,Kata Benda,床屋,とこや,tokoya,{Toko} Pangkas Rambut,Kata Benda,,,
2247,44,Ekspresi,～見たいにしてください,～みたいにしてください,~mitai ni shite kudasai,Tolong jadikan / buat seperti …,Ekspresi,,,
2248,44,Ekspresi,これでよろしいでしょうか,これでよろしいでしょうか,kore de yoroshii deshouka,Apakah begini cukup? [Hormat],Ekspresi,,,
2249,44,Ekspresi,これでいいですか,これでいいですか,kore de ii desuka,Apakah begini cukup?,Ekspresi,,,
2250,44,Kata Kerja,嫌がります,いやがります,iyagarimasu,(Orang lain) Benci / Tidak Mau,Kata Kerja,Godan (I),Jidoushi (Intransitif),
2251,44,Kata Keterangan,うまく,うまく,umaku,"Pandai, Mahir",Kata Keterangan,,,
2252,44,Kata Benda,順序,じゅんじょ,junjo,Urutan,Kata Benda,,,
2253,44,Kata Benda,順番,じゅんばん,junban,Urutan,Kata Benda,,,
2254,44,Kata Sifat (Na),安心,あんしん,anshin,Lega,Kata Sifat (Na),,,
2255,44,Kata Benda,表現,ひょうげん,hyougen,Ungkapan / Ekspresi,Kata Benda,,,
2256,44,Kata Keterangan,例えば,たとえば,tatoeba,Contohnya / Misalnya,Kata Keterangan,,,
2257,44,Kata Kerja,別れます,わかれます,wakaremasu,Berpisah,Kata Kerja,Ichidan (II),Jidoushi (Intransitif),
2258,44,Kata Benda,これら,これら,korera,Ini {Jamak},Kata Benda,,,
2259,44,Kata Benda,それら,それら,sorera,Itu {Jamak},Kata Benda,,,
2260,44,Kata Benda,あれら,あれら,arera,Itu [jauh] {Jamak},Kata Benda,,,
2261,44,Kata Sifat (I),縁起が悪い,えんぎがわるい,engi ga warui,Peruntungan Buruk {Tidak Menyenangkan},Kata Sifat (I),,,
2262,45,Kata Kerja,信じます,しんじます,shinjimasu,Percaya / Mempercayai,Kata Kerja,Ichidan (II),Tadoushi (Transitif),
2263,45,Kata Kerja,キャンセルします,キャンセルします,kyanseru shimasu,Membatalkan,Kata Kerja,Iirregular (III),Tadoushi (Transitif),
2264,45,Kata Benda,キャンセル,キャンセル,kyanseru,Cancel Pembatalan,Kata Benda,,,
2265,45,Kata Benda,保証,ほしょう,hoshou,Jaminan,Kata Benda,,,
2266,45,Kata Benda,保証書,ほしょうしょ,hoshousho,Kartu Jaminan / Surat Garansi,Kata Benda,,,
2267,45,Kata Benda,領収書,りょうしゅうしょ,ryoushuusho,Kuitansi,Kata Benda,,,
2268,45,Kata Benda,キャンプ,キャンプ,kyanpu,Camp / Kemah,Kata Benda,,,
2269,45,Kata Benda,中止,ちゅうし,chuushi,Pembatalan,Kata Benda,,,
2270,45,Kata Kerja,中止します,ちゅうしします,chuushi shimasu,Membatalkan,Kata Kerja,Iirregular (III),Tadoushi (Transitif),
2271,45,Kata Benda,点,てん,ten,Poin / Skor / Nilai,Kata Benda,,,
2272,45,Kata Benda,満点,まんてん,manten,Nilai Penuh / Sempurna,Kata Benda,,,
2273,45,Kata Benda,梅,うめ,ume,Plum,Kata Benda,,,
2274,45,Kata Benda,パトカー,パトカー,patokaa,Patroli Car,Kata Benda,,,
2275,45,Kata Benda,消防車,しょうぼうしゃ,shoubousha,Pemadam Kebakaran,Kata Benda,,,
2276,45,Kata Benda,救急車,きゅうきゅうしゃ,kyuukyuusha,Ambulance,Kata Benda,,,
2277,45,Kata Keterangan,急に,きゅうに,kyuu ni,(Secara) Tiba-tiba / Mendadak,Kata Keterangan,,,
2278,45,Kata Keterangan,無理に,むりに,muri ni,(Secara) Paksa,Kata Keterangan,,,
2279,45,Kata Kerja,楽しみます,たのしみます,tanoshimimasu,Menikmati,Kata Kerja,Godan (I),Tadoushi (Transitif),たのしんでください：Selamat menikmati
2280,45,Ekspresi,以上です,いじょうです,ijou desu,Sekian,Ekspresi,,,
2281,45,Kata Benda,係員,かかりいん,kakariin,"Orang yang terlibat, Petugas",Kata Benda,,,
2282,45,Kata Benda,関係,かんけい,kankei,Terlibat / Hubungan / Kaitan,Kata Benda,,,
2283,45,Kata Benda,コース,コース,koosu,Course / Jalur / Jalan / Rute,Kata Benda,,,
2284,45,Kata Benda,スタート,スタート,sutaaato,Start / Mulai,Kata Benda,,,
2285,45,Kata Benda,～位,～い,~i,Peringkat,Kata Benda,,,
2286,45,Kata Benda,一位,いちい,ichii,Ranking 1 (Juara),Kata Benda,,,
2287,45,Kata Benda,優勝,ゆうしょう,yuushou,Menang,Kata Benda,,,
2288,45,Kata Benda,優勝者,ゆうしょうしゃ,yuushousha,Pemenang,Kata Benda,,,
2289,45,Kata Kerja,優勝します,ゆうしょうします,yuushou shimasu,(Kegiatan) Menang / Memenangkan,Kata Kerja,Iirregular (III),Jidoushi (Intransitif),
2290,45,Kata Benda,悩み,なやみ,nayami,Kegelisahan / Kecemasan / Masalah,Kata Benda,,,
2291,45,Kata Benda,目覚まし時計,めざましどけい,mezamashidokei,Jam weker,Kata Benda,,,
2292,45,Kata Kerja,目が覚めます,めがさめます,me ga samemasu,Mata tercelikkan / Terbangun,Kata Kerja,Ichidan (II),Jidoushi (Intransitif),
2293,45,Kata Benda,回答,かいとう,kaitou,Solusi,Kata Benda,,,
2294,45,Kata Kerja,鳴ります,～なります,~narimasu,Berbunyi,Kata Kerja,Godan (I),Jidoushi (Intransitif),けいたいがなります：Telpon berbunyi
2295,45,Kata Kerja,セットします,セットします,setto shimasu,Mensetting / Memasang / Mengatur,Kata Kerja,Iirregular (III),Tadoushi (Transitif),
2296,45,Kata Keterangan,それでも,それでも,soredemo,Masih / Meskipun … tetap …,Kata Keterangan,,,
2297,46,Kata Kerja,渡します,わたします,watashimasu,Menyerahkan,Kata Kerja,Godan (I),Tadoushi (Transitif),
2298,46,Kata Kerja,帰って来ます,かえってきます,kaette kimasu,Pulang kemudian datang lagi,Kata Kerja,Iirregular (III),Jidoushi (Intransitif),
2299,46,Kata Kerja,届きます,とどきます,nimotsu ga todokimasu,[Barang / Paket] tiba / sampai,Kata Kerja,Godan (I),Jidoushi (Intransitif),
2300,46,Kata Kerja,焼きます,やきます,yakimasu,Membakar / Memanggang,Kata Kerja,Godan (I),Tadoushi (Transitif),
2301,46,Kata Benda,留守,るす,rusu,Ketidakadaan {Rumah Kosong},Kata Benda,,,
2302,46,Kata Benda,留守番,るすばん,rusuban,Orang yang bertugas menjaga {rumah kosong},Kata Benda,,,
2303,46,Kata Benda,宅配便,たくはいびん,takuhai bin,Pengiriman Pos {Titipan Kilat} diantar sampai rumah,Kata Benda,,,
2304,46,Kata Benda,原因,げんいん,genin,Sebab {Akibat},Kata Benda,,,
2305,46,Kata Benda,～の所,～のところ,~no tokoro,Tempat …,Kata Benda,,,
2306,46,Kata Benda,半年,はんとし,hantoshi,Setengah tahun,Kata Benda,,,
2307,46,Kata Keterangan,ちょうど,ちょうど,choudo,Pas / Tepat,Kata Keterangan,,,
2308,46,Kata Keterangan,たった今,たったいま,tatta ima,Baru saja,Kata Keterangan,,,たったいまバスがでました
2309,46,Kata Benda,ガスサービスセンター,ガスサービスセンター,gasu saabisu sentaa,Gas Service Center Pusat Pelayanan Gas,Kata Benda,,,
2310,46,Kata Benda,ガスレンジ,ガスレンジ,gasu renji,Kompor Gas,Kata Benda,,,
2311,46,Kata Benda,具合,ぐあい,guai,Kondisi {Kesehatan},Kata Benda,,,
2312,46,Ekspresi,申し訳ありません,もうしわけありません,moushiwake arimasen,Maaf (Hormat),Ekspresi,,,
2313,46,Ekspresi,ごめんなさい,ごめんなさい,gomennasai,Maaf (Kasual / Tulus),Ekspresi,,,
2314,46,Ekspresi,どちら様でしょうか,どちらさまでしょうか,dochira sama deshouka,Siapa / Atas nama siapa? (Hormat),Ekspresi,,,
2315,46,Ekspresi,誰ですか,だれですか,dare desuka,Siapa?,Ekspresi,,,
2316,46,Ekspresi,お待たせしました,おまたせしました,omatase shimashita,(Maaf) Saya telah membuat Anda menunggu.,Ekspresi,,,
2317,46,Kata Kerja,待たせます,またせます,matasemasu,Membuat orang lain menunggu,Kata Kerja,Godan (I),Tadoushi (Transitif),Bab 48
2318,46,Kata Kerja,向かいます,むかいます,mukaimasu,Menuju,Kata Kerja,Godan (I),Jidoushi (Intransitif),きたにむかいます：Menuju ke Utara
2319,46,Kata Kerja,ついています,ついています,tsuiteimasu,Mujur / Beruntung / Hoki,Kata Kerja,Ichidan (II),Jidoushi (Intransitif),
2320,46,Kata Benda,床,ゆか,yuka,Lantai,Kata Benda,,,
2321,46,Kata Kerja,転びます,ころびます,korobimasu,Jatuh {terguling},Kata Kerja,Godan (I),Jidoushi (Intransitif),
2322,46,Kata Benda,ベル,ベル,beru,Bel,Kata Benda,,,
2323,46,Kata Kerja,成ります,なります,narimasu,Menjadi,Kata Kerja,Godan (I),Jidoushi (Intransitif),
2324,46,Kata Keterangan,慌てて,あわてて,awatete,{Dengan / Secara} Tergesa-gesa,Kata Keterangan,,,
2325,46,Kata Keterangan,順番に,じゅんばんに,junban ni,Secara berurut {Sesuai urutan},Kata Keterangan,,,
2326,46,Kata Benda,出来事,できごと,dekigoto,Peristiwa,Kata Benda,,,